Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
GPT 应用芯片前端工程师,宁波-镇海区,30-60k,万有引力(宁波)电子科技有限公司,,1-3年,本科,电子/半导体/集成电路,100-499人,"贾先生,显示算法负责人"
前端工程师（shopify）,深圳-南山区,8-13k,出海一叮,"前端开发,HTML,jQuery,Javascript",经验不限,本科,互联网,100-499人,"郑女士,HR"
本部-前端工程师-英文面试-不加班-核心职位,上海-徐汇区,23-35k·13薪,中电金信,GraphQL,3-5年,统招本科,计算机软件,10000人以上,"李女士,招聘专家"
IC设计前端工程师,长沙-开福区,15-25k·13薪,长沙驭电信息技术有限公司,"电子/半导体/集成电路,IC设计/应用工程师",3-5年,本科,电子/半导体/集成电路,1-49人,"蒋女士,招聘专员"
web前端工程师,合肥,10-15k,安徽乐嘉驰信息科技有限公司,"javascript,css,前端开发,css3,vue,html,webpack,小程序",3-5年,大专,50-99人,1-49人,"缪女士,人事行政经理"
IC数字前端工程师,南京-雨花台区,25-35k·16薪,杭州云合智网技术有限公司,,1-3年,硕士,电子/半导体/集成电路,100-499人,李先生
数字前端工程师 DDR,南京-雨花台区,40-70k,中茵微电子,,5-10年,硕士,电子/半导体/集成电路,100-499人,"白女士,HR"
芯片前端工程师,深圳-宝安区,薪资面议,北京算能科技有限公司,,3-5年,统招本科,计算机软件,100-499人,"范女士,HR BP"
web前端工程师,上海-浦东新区,10-15k,觅熵科技(杭州)有限公司,"vue,jquery,ajax,html5,css3",3-5年,大专,计算机软件,1-49人,"吴女士,HR"
前端工程师,长沙-岳麓区,8-11k,长沙清风托月网络科技有限公司,Vue,1-3年,本科,计算机硬件,1-49人,"肖女士,人事"
WEB前端工程师,苏州-相城区,10-20k,江苏易用科技有限公司,"前端开发,Web开发",1-3年,本科,计算机软件,1-49人,"王女士,行政"
web前端工程师,武汉,7-12k·14薪,武汉凌安科技有限公司,"Node.js,Electron,iView,前端开发,Less,C语言,R语言,Objective-C,C/C++,Webpack",经验不限,本科,专业技术服务,100-499人,"刘女士,人力资源部"
欧洲外卖平台技术团队VUE.JS前端工程师,杭州-西湖区,20-28k·13薪,青岛君峰食里信息科技有限公司,"javascript,css3,vue,angular,git,android,ios,typescript,nosql,前端开发",经验不限,本科,IT服务,100-499人,"耿女士,运营主管"
web前端工程师,珠海-香洲区,10-20k,北京南天信息工程有限公司,前端 工程师,5-10年,大专,计算机软件,500-999人,"田女士,pmo"
前端工程师（uniapp),济南-槐荫区,8-12k,山东晨阳网络科技有限公司,"uni-app,Vue,前端开发,CSS,电商领域",1-3年,本科,计算机软件,500-999人,"付先生,管理"
前端工程师(001051),广州,15-25k,广州黑格智造信息科技有限公司,,经验不限,本科,物联网,500-999人,"唐宇杰,RPO项目经理"
WEB前端工程师,北京-海淀区,12-13k,北京捷越联合金融信息服务有限公司,"前端开发,Vue,Angular,界面开发,需求分析,人工智能领域,商业信息化,大数据领域",1-3年,统招本科,互联网,500-999人,"黄先生,测试经理/主管"
web前端工程师,西安,10-15k,西安华为,"css3,react,vue,ajax,webpack,angular,java,npm,网络协议",经验不限,本科,云计算/大数据,10000人以上,"齐先生,SE"
前端工程师,北京,10-20k,亚信科技,"Vue,模块开发,前端开发",3-5年,本科,通信设备,10000人以上,"许女士,经理"
中级前端工程师,北京,10-20k,亚信科技,"javascript,vue",3-5年,本科,通信设备,10000人以上,"许女士,经理"
数字前端高级工程师(J10075),珠海-横琴新区,25-50k·15薪,芯动科技,,经验不限,本科,电子/半导体/集成电路,10000人以上,"陈女士,人力资源主管"
前端工程师,石家庄-鹿泉区,4-6k,河北中科数城信息技术有限公司,"前端开发,MVVM,HTML5,Javascript,IT/信息化领域,Vue",1-3年,本科,计算机软件,10000人以上,"刘女士,人力资源专员/助理"
前端工程师,上海-徐汇区,7-12k,上海熙然仪器设备有限公司,"前端开发,Vue,Java",1-3年,本科,电气机械/器材,10000人以上,"杨女士,人事"
前端工程师,兰州-城关区,5-8k,兰州中科维智信息咨询有限公司,"css,vue,jquery,html,ajax,webpack,bootstrap",1-3年,大专,计算机软件,1-49人,"杨先生,事业发展部经理"
IC数字前端工程师,北京-海淀区,20-40k,山东华科半导体研究院有限公司,,3-5年,硕士,电子/半导体/集成电路,50-99人,"李女士,行政总监"
# React Native移动应用开发前端工程师,成都,10-15k,知车科技,"React,前端开发",经验不限,本科,物联网,1-49人,"蒋先生,总经理"
   web前端工程师,周口-川汇区,8-13k,河南圣硕农业发展有限公司,"javascript,html,vue,前端开发,vue.js,ajax",3-5年,大专,互联网,1-49人,"胡先生,人事"
  WEB前端 工程师,周口-川汇区,8-13k,河南圣硕农业发展有限公司,"javascript,html,vue,前端开发,vue.js,ajax",3-5年,大专,互联网,1-49人,"胡先生,人事"
web前端工程师,北京,15-20k,北京熵联信息技术有限公司,"界面开发,Angular,React,Vue,框架设计,框架开发,前端开发,XHTML,HTML",3-5年,本科,互联网,1-49人,"李先生,技术员"
数字前端高级工程师(J10411),珠海-香洲区,20-40k,芯动科技,,3-5年,本科,电子/半导体/集成电路,1-49人,"李女士,人事行政专员"
数字前端高级工程师(J10071),西安-碑林区,25-50k·15薪,芯动科技,,经验不限,本科,电子/半导体/集成电路,1-49人,"陈女士,人力资源主管"
ISP数字前端工程师,上海-徐汇区,20-50k·15薪,辉羲智能科技(上海)有限公司,,经验不限,硕士,计算机软件,100-499人,"彭先生,多媒体系统高级主管工程师"
前端工程师,南京-浦口区,10-15k,南京纯白矩阵科技有限公司,"css,前端开发,react,vue,html,webpack,git",3-5年,本科,区块链,50-99人,"周先生,首席运营官COO"
前端软件开发工程师,上海-闵行区,13-25k,合肥弈维量子科技有限公司,"前端开发,框架设计,框架开发,界面开发,Vue,功能开发,模块开发,CSS,Javascript,HTML",1-3年,本科,计算机软件,1-49人,"孙女士,人力资源"
Angular前端工程师,西安-高新区,10-12k,博彦科技,"Angular,前端开发,英语",经验不限,本科,IT服务,10000人以上,"邹女士,人力资源伙伴(HRBP)"
前端工程师,深圳-南山区,8-15k,赛纷科技(深圳)有限公司,ps,1-3年,本科,人工智能,10000人以上,"陈女士,经理"
芯片前端工程师,北京,40-70k·16薪,北京比特大陆科技有限公司,,经验不限,硕士,电子/半导体/集成电路,10000人以上,"孙先生,人力经理"
芯片前端工程师,北京-海淀区,薪资面议,北京算能科技有限公司,,3-5年,统招本科,计算机软件,10000人以上,"范女士,HR BP"
Web前端高级工程师,深圳-南山区,25-30k,深圳市索为资讯科技有限公司,"MVVM,前端开发,界面开发,React,Node.js,模块开发,框架设计,框架开发,移动开发,jQuery",3-5年,本科,通信设备,1-49人,"谢女士,行政人事"
IC前端工程师,上海-普陀区,薪资面议,Think Force,"Verilog,Verification,时序分析,形式验证,RTL,HDL",3-5年,统招本科,电子/半导体/集成电路,50-99人,"陈女士,人事主管"
小程序前端工程师,上海-徐汇区,8-12k,当飞网络科技(上海)有限公司,,1-3年,本科,互联网,1-49人,"雷先生,CTO"
前端工程师,上海-杨浦区,12-24k,兴塔网络科技(上海)有限公司,"jQuery,CSS,HTML5,Javascript,界面开发,IT/信息化领域,电商领域,大数据领域,Vue,uni-app",1-3年,本科,计算机软件,1-49人,"徐先生,副总裁兼CPO、CMO"
前端工程师,深圳-宝安区,18-22k,深圳千道科技有限公司,移动端、Web端,5-10年,本科,互联网,1-49人,曾女士
本部-前端工程师-英文面试-不加班-核心职位,北京-海淀区,23-35k·13薪,中电金信,GraphQL,3-5年,统招本科,计算机软件,10000人以上,"李女士,招聘专家"
web前端工程师,杭州-滨江区,15-30k·15薪,华为云计算技术有限公司,"Web开发,前端开发,界面开发",1-3年,本科,计算机软件,10000人以上,"任先生,算法工程师"
前端工程师,成都-武侯区,18-30k·13薪,北京尘锋信息技术有限公司,"前端开发,vue",5-10年,本科,云计算/大数据,500-999人,"赵女士,招聘专员"
web前端工程师,苏州-吴中区,10-15k·13薪,铭阳(苏州)互联网科技有限公司,"Vue,前端开发,Javascript,CSS,界面开发,IT/信息化领域",3-5年,本科,计算机软件,500-999人,"彭女士,人事"
中高级IC前端工程师,北京,面议,北京轩宇空间科技有限公司,,1-3年,本科,电气机械/器材,500-999人,"刘美辰,RPO项目经理"
前端工程师,武汉-洪山区,10-20k·14薪,江西省云眼大视界科技有限公司武汉分公司,"前端开发,框架设计,框架开发,React,Node.js,CSS,Webpack",3-5年,本科,互联网,500-999人,"孙女士,HR"
数字IC前端工程师,上海-浦东新区,薪资面议,上海韬润半导体有限公司,"verilog,modelsim,芯片设计",5-10年,硕士,电子/半导体/集成电路,500-999人,"管先生,GM"
高级数字前端工程师,苏州-虎丘区,35-65k,苏州易行电子科技有限公司,,3-5年,本科,电子/半导体/集成电路,1-49人,"徐女士,人事"
IC数字前端工程师,上海,薪资面议,Think Force,,1-3年,统招本科,电子/半导体/集成电路,50-99人,"陈女士,人事主管"
数字IC前端工程师,武汉,15-30k·13薪,中科驭数,,经验不限,统招本科,电子/半导体/集成电路,100-499人,"李女士,人力资源"
数字前端高级工程师(J11031),武汉-江夏区,25-50k·16薪,芯动科技,,1-3年,本科,电子/半导体/集成电路,100-499人,"李女士,校招专员"
数字ic前端工程师,合肥-包河区,20-40k·14薪,合肥海图微电子有限公司,,3-5年,统招本科,电子/半导体/集成电路,100-499人,"安女士,资深工程师"
web前端工程师,成都-金牛区,10-20k·15薪,经纬恒润,,3-5年,本科,电子/半导体/集成电路,2000-5000人,"张女士,人力运营专员"
web前端工程师,北京,10-20k·15薪,经纬恒润,,3-5年,本科,电子/半导体/集成电路,2000-5000人,"张女士,人力运营专员"
数字IC前端工程师,北京-海淀区,20-40k·13薪,中科驭数,,经验不限,本科,电子/半导体/集成电路,100-499人,"李女士,人力资源"
web前端工程师,济南,10-15k,山东科奥互联网科技有限公司,"HTML5,HTML,Javascript,jQuery,Vue",1-3年,本科,科技金融,100-499人,"孙女士,行政"
web前端工程师,昭通-昭阳区,3-5k,昭通市昭阳区易记软件开发有限公司,"移动开发,前端开发",1-3年,大专,计算机软件,100-499人,"周先生,财务"
前端工程师,杭州,10-15k,柯信信息科技有限公司,react,3-5年,本科,计算机软件,100-499人,"张女士,HR"
前端工程师,长沙-长沙县,13-17k,三一集团,,经验不限,本科,机械/设备,100-499人,"邓先生,项目经理"
ic数字前端工程师,中山,8-13k·16薪,中微半导体(深圳)股份有限公司,"电路设计,verilog,芯片设计,数字/模拟电路技术",经验不限,本科,电子/半导体/集成电路,100-499人,"郑先生,数字前端经理"
数字前端工程师（扬州）,扬州-江都区,10-20k,江苏稻源集团,"数字前端设计,数字前端验证,IP设计,SOC设计",经验不限,统招本科,物联网,100-499人,"张先生,HR"
高级前端工程师,杭州,20-35k·16薪,阿里巴巴软件,前端开发,3-5年,本科,互联网,100-499人,"叶先生,前端开发专家"
前端工程师,红河,10-15k,云南幂次科技有限公司,"前端开发,react,angular,git,linux,typescript,shell,flutter,swift,小程序",经验不限,本科,计算机软件,100-499人,"宗先生,人事主管"
数字前端高级工程师(J10925),武汉-江夏区,25-50k·15薪,芯动科技,,1-3年,本科,电子/半导体/集成电路,100-499人,"李女士,校招专员"
高级IC数字前端工程师,北京,20-25k,大唐微电子技术有限公司,,5-10年,硕士,专业技术服务,100-499人,"李女士,招聘主管"
前端工程师,天津,10-15k,慧林克(天津)科技发展有限公司,"javascript,css3,react,vue,webpack,git,typescript,photoshop,asp,illustrator",3-5年,本科,计算机硬件,1-49人,"李先生,总经理"
前端工程师,上海,10-15k,上海泊彦文化传媒有限公司,"css,react,jquery,html",3-5年,本科,文化艺术业,1-49人,"许女士,首席人力资源官CHO/HRVP"
前端工程师,北京,13-18k,轻引力,"界面开发,前端开发,架构设计",5-10年,大专,电子商务,1-49人,高先生
web前端工程师,上海-浦东新区,20-40k·15薪,上海夏笛信息科技有限公司,"Vue,前端,web开发,web端",经验不限,统招本科,互联网,1-49人,"潘先生,CEO"
web前端工程师,西安,10-15k,西安交远能源科技有限公司,"css,前端开发,react,vue,html,bootstrap",3-5年,本科,批发/零售,50-99人,"高女士,软件开发工程师"
web前端工程师,长春-南关区,8-13k,吉林省伊凡魔云科技有限公司,"javascript,css3,react,vue,jquery,html,ajax,bootstrap,mvc开发,前端开发",3-5年,大专,1-49人,50-99人,"马女士,运营经理"
数字前端高级工程师(J10338),珠海-香洲区,25-50k·15薪,芯动科技,,3-5年,本科,电子/半导体/集成电路,50-99人,容女士
数字前端高级工程师(J10073),成都-武侯区,25-50k·15薪,芯动科技,,经验不限,本科,电子/半导体/集成电路,50-99人,"陈女士,人力资源主管"
数字IC前端工程师,苏州,18-22k·15薪,芯动科技,,经验不限,本科,电子/半导体/集成电路,50-99人,"段女士,HR"
前端工程师,北京,23-28k,深圳市华云高科技术有限公司,前端工程师,3-5年,学历不限,互联网,50-99人,"张先生,招聘经理/主管"
web前端工程师,唐山,10-15k,唐山兴发机电设备安装维修有限公司,"css,vue,html,小程序",3-5年,本科,1-49人,50-99人,"张女士,采购管理"
web前端工程师,北京,13-15k·13薪,京报移动传媒,"react,vue,小程序,前端开发,android,ios",3-5年,本科,广播/影视/录音,50-99人,"曹先生,总经理"
高级/资深前端工程师,北京,25-50k·16薪,贝壳找房(北京)科技有限公司,"react,vue,angular",3-5年,本科,生活服务O2O,10000人以上,"生先生,资深前端工程师"
芯片前端工程师,成都,25-30k·16薪,华为技术有限公司成都研究所,,3-5年,本科,通信设备,10000人以上,"唐先生,工程师"
数字前端高级工程师(J10547),成都-高新区,25-50k,芯动科技,,3-5年,本科,电子/半导体/集成电路,10000人以上,"李女士,人事行政专员"
资深前端工程师 / 专家 （P6/P7）,杭州,20-40k·13薪,阿里云,"css3,react,vue,webpack,angular,hadoop,spark,全栈开发",3-5年,本科,互联网,10000人以上,"辛先生,前端技术专家"
web前端工程师,北京,15-25k·14薪,北京京师讯飞教育科技有限公司,"javascript,css,html,webpack,gulp,grunt,react",5-10年,统招本科,在线教育,100-499人,"彭女士,HR"
高级前端工程师,杭州,20-35k·16薪,阿里巴巴软件,saas,3-5年,本科,互联网,100-499人,"吴先生,测试开发"
数字前端高级工程师(J10504),武汉-江夏区,25-50k,芯动科技,,3-5年,本科,电子/半导体/集成电路,100-499人,"李女士,人事行政专员"
web前端工程师,北京-朝阳区,15-30k·15薪,北京泰洋明山文化传媒有限公司,"DBA,Javascript,C/C++,C语言",3-5年,本科,广播/影视/录音,100-499人,"周先生,集团VP"
数字前端高级工程师(J10074),上海-浦东新区,25-50k·15薪,芯动科技,,3-5年,本科,电子/半导体/集成电路,100-499人,"陈女士,人力资源主管"
资深数字前端工程师,苏州-工业园区,35-50k·16薪,芯朋微电子,,5-10年,硕士,电子/半导体/集成电路,100-499人,"陶女士,HRM"
高级前端工程师,广州-番禺区,12-25k,广州金马智慧科技有限公司,"前端开发,移动开发,Vue,React,Angular,Javascript,ECMAScript 6,ECMAScript,TypeScript,R语言",5-10年,本科,计算机软件,100-499人,"陈先生,技术经理"
soc前端工程师,北京,35-55k·14薪,某国内互联网公司,数字前端设计,5-10年,硕士,互联网,100-499人,"张女士,猎头顾问"
芯片前端工程师,广州,25-50k·25薪,某广州大型电力/热力/燃气/水务公司,,经验不限,博士,电力/热力/燃气/水务,10000人以上,"杜女士,猎头顾问"
数字前端工程师/专家,上海,25-50k·20薪,某国内大型电子/半导体/集成电路公司,,经验不限,统招本科,电子/半导体/集成电路,2000-5000人,"刘女士,猎头顾问"
web前端高级工程师,青岛-崂山区,15-20k,北京折多科技有限公司,"javascript,react,vue,jquery,angular",5-10年,本科,互联网,100-499人,"何女士,人力资源总监"
Flutter前端工程师,北京-东城区,6-10k,北京新智铁科技有限公司,,3-5年,本科,互联网,1-49人,"杨先生,总经理"
WEB前端组长/资深前端工程师,南京-江宁区,20-30k·14薪,小视科技,"前端开发,React,Vue,框架开发,框架设计,TypeScript,ECMAScript 6,ECMAScript",3-5年,本科,生活服务O2O,100-499人,"杨先生,人力总监"
web前端工程师,北京-海淀区,16-35k·14薪,华为,"Vue,前端开发,HTML",经验不限,统招本科,通信设备,100-499人,"李先生,首席架构师"
WEB前端工程师,上海-浦东新区,15-25k·16薪,派能科技,"前端开发,引擎开发,WebGL",5-10年,统招本科,新能源,2000-5000人,"王先生,招聘主管"
React前端工程师-稳定的金融科技公司,北京-朝阳区,30-35k·13薪,Michael Page,"前端开发,系统开发,React,模块开发,架构设计,Javascript,C/C++,C语言",5-10年,统招本科,人力资源服务,2000-5000人,"王女士,consultant"
WEB前端工程师,武汉-江夏区,10-15k,某深圳世界500强通信设备公司,前端开发,3-5年,本科,通信设备,10000人以上,"陈女士,猎头顾问"
WEB前端工程师-苏州（双休+六险一金）,苏州-工业园区,20-40k·16薪,某深圳大型通信设备公司,"Vue,前端开发,框架开发,框架设计,Javascript",1-3年,统招本科,通信设备,10000人以上,"张女士,猎头顾问"
前端工程师,杭州-滨江区,6-9k,杭州优鱼科技有限公司,"框架开发,框架设计,Vue,前端开发,React,界面开发,移动开发,Webpack",1-3年,学历不限,计算机软件,10000人以上,"刘先生,创始人&技术负责人"
前端工程师,北京,12-18k,林洋能源,,3-5年,大专,新能源,2000-5000人,"高先生,招聘经理"
WEB前端工程师,沈阳-和平区,8-14k,沈阳厚普科技有限公司,"前端开发,框架设计,框架开发,架构设计,Vue,T3.js,D3.js,引擎开发",3-5年,本科,计算机软件,2000-5000人,"唐女士,人力资源经理"
前端工程师,北京,25-45k·15薪,某北京互联网公司,"后端开发,前端开发,框架开发,框架设计,移动开发,界面开发,架构设计,IT/信息化领域,R语言,D语言",经验不限,统招本科,互联网,1-49人,"刘女士,猎头顾问"
前端工程师,长春,15-25k,某国内大型整车制造公司,"前端开发,框架设计,框架开发,React,Javascript",3-5年,本科,整车制造,10000人以上,"丁女士,猎头顾问"
前端工程师,郑州-郑东新区,10-15k·13薪,佳发教育,"React,Vue",3-5年,本科,计算机硬件,500-999人,陈女士
WEB前端工程师,合肥-高新区,10-15k,上海朗曦信息技术有限公司,"前端开发,界面开发,框架设计,框架开发,CSS,HTML,C语言",5-10年,本科,互联网,1-49人,"蔡女士,人事"
WEB前端工程师,上海-松江区,9-15k,上海汉互信息科技有限公司,"框架设计,框架开发,前端开发",1-3年,统招本科,计算机软件,1-49人,"韩先生,技术总监"
WEB前端工程师（国企征信平台）,苏州-姑苏区,14-20k,某苏州云计算/大数据公司,"vue框架,征信平台,稳定外包",3-5年,统招本科,云计算/大数据,50-99人,"刘先生,猎头顾问"
前端工程师,北京-海淀区,25-50k·15薪,某北京大型互联网公司,"HTML,CSS,Javascript,金融领域",3-5年,统招本科,互联网,500-999人,"周女士,猎头顾问"
WEB前端工程师,福州-闽侯县,3-8k,福州联合晓智信息技术有限公司,前端开发,1-3年,学历不限,计算机软件,500-999人,"陈先生,经理"
数字前端工程师,上海,70-100k,某上海电子技术公司,,经验不限,学历不限,电子/半导体/集成电路,1-49人,"宋先生,猎头顾问"
数字前端工程师,北京-丰台区,25-50k,某北京大型航空/航天设备公司,数字前端设计,经验不限,统招本科,航空/航天设备,2000-5000人,"贾先生,猎头顾问"
数字前端工程师,上海,40-70k·14薪,某上海电子技术公司,,5-10年,统招本科,电子/半导体/集成电路,100-499人,"徐先生,猎头顾问"
web前端工程师,烟台,7-12k,山东正元数字城市建设有限公司,前端开发,1-3年,本科,IT服务,100-499人,"鹿先生,质量管理"
WEB前端工程师,上海-浦东新区,12-17k,某上海大型计算机软件公司,"React,金融,证券,基金,金融领域",3-5年,统招本科,计算机软件,2000-5000人,"张先生,猎头顾问"
高级前端工程师【专场招聘】,成都,18-28k,领保科技(Bytesforce),"前端开发,系统开发,架构设计,框架设计,框架开发",5-10年,统招本科,计算机软件,50-99人,"古女士,HR"
前端工程师,北京-朝阳区,9-20k,北京大力税手信息技术有限公司,"前端开发,css3,react,vue,webpack,angular,git,小程序",1-3年,大专,天使轮,50-99人,"李先生,技术开发总经理"
web前端工程师,杭州-滨江区,15-20k,某宁波大型整车制造公司,"Vue,uni-app,前端开发,框架设计,架构设计,IT/信息化领域,工业互联网",5-10年,统招本科,整车制造,1000-2000人,"毛先生,猎头顾问"
前端工程师,威海-环翠区,7-10k,威海经济技术开发区天智创新技术研究院,"前端开发,后端开发,框架开发,框架设计",1-3年,本科,非营利组织,1000-2000人,"綦先生,院长助理"
数字前端工程师,上海-宝山区,20-35k·14薪,上海聪链信息科技有限公司,,1-3年,统招本科,电子/半导体/集成电路,1000-2000人,"周女士,人事行政经理"
3D前端工程师,成都-双流区,10-20k,砼联数字科技有限公司,"前端开发,Vue,框架设计,框架开发,HTML5,HTML,D语言,WebGL",5-10年,本科,互联网,1000-2000人,"张先生,招聘主管"
前端工程师（QT方向）,成都,8-12k·16薪,北京极乐太空科技有限公司,"前端开发,IT/信息化领域",5-10年,本科,专业技术服务,1000-2000人,"魏先生,副总经理"
WEB前端工程师,北京,20-40k·15薪,某北京专业技术服务公司,"Vue.js,React.js,TypeScript,React Native,人工智能领域,Ionic",3-5年,学历不限,在线社交/媒体,1000-2000人,"杜先生,猎头顾问"
前端工程师,成都,10-14k·16薪,北京极乐太空科技有限公司,前端开发,5-10年,统招本科,专业技术服务,1000-2000人,"魏先生,副总经理"
前端工程师,威海-环翠区,7-10k,威海经济技术开发区天智创新技术研究院,"前端开发,后端开发,框架设计,框架开发",1-3年,本科,非营利组织,1000-2000人,"綦先生,院长助理"
web前端工程师,上海,15-30k,上海汉图科技有限公司,"javascript,css,前端开发,react,vue,html,angular",3-5年,本科,计算机硬件,100-499人,"汪先生,前端开发工程师"
react前端工程师,北京-朝阳区,15-25k,北京麒麟心通网络技术有限公司,前端开发,3-5年,统招本科,互联网,50-99人,田先生
资深前端工程师,北京-海淀区,40-65k·15薪,北京抖音信息服务有限公司,"全栈开发,Javascript,前端开发",3-5年,本科,在线社交/媒体,10000人以上,"王先生,WEB前端开发"
web前端工程师,北京-海淀区,20-30k,北京东进航空科技股份有限公司,"javascript,css,前端开发,css3,react,vue,jquery,html",5-10年,本科,计算机软件,100-499人,"庞女士,HR"
高级APP前端工程师（React Native /不外派）,西安,10-20k,中软国际科技,"React,React Native,HTML5,Android,安卓",5-10年,本科,IT服务,100-499人,"马女士,招聘主管"
前端工程师,上海-普陀区,10-15k,辉图建筑工程科技(上海)有限公司,"Angular,前端开发,TypeScript,CSS,Javascript",3-5年,本科,计算机软件,50-99人,"桂女士,HRD"
前端工程师,福州-闽侯县,8-12k,福州市泰悦创软件开发有限公司,"css,前端开发,vue,java,git,mysql,svn,sql,oracle,mybatis",1-3年,学历不限,计算机软件,50-99人,"林先生,高管"
web前端工程师,长春-高新区,4-8k,吉林省卓越科技有限公司,"前端开发,vue,html",1-3年,大专,计算机硬件,50-99人,"侯女士,人事经理"
资深前端工程师,苏州-工业园区,10-20k·13薪,苏州峰之鼎信息科技有限公司,"javascript,css,前端开发,react,vue,webpack,angularjs",3-5年,本科,计算机软件,100-499人,"戴先生,HR"
前端工程师,深圳-龙岗区,10-30k·14薪,华为,"前端开发,框架设计,框架开发,Grunt,Vue,Web开发,服务器开发,架构设计,Javascript,Gulp",1-3年,统招本科,通信设备,100-499人,"胡先生,数字化IT应用工程师"
前端工程师,杭州-滨江区,19-40k,华为,"前端开发,架构设计,Angular,服务器开发,Web开发,React,Vue,框架开发,框架设计,CSS",经验不限,本科,通信设备,100-499人,"廖先生,开机"
web前端工程师,深圳-龙岗区,15-30k·14薪,华为,"css,css3,vue,jquery,html",经验不限,本科,通信设备,100-499人,"周女士,项目经理/主管"
web前端工程师,北京,15-25k·13薪,中国电信股份有限公司研究院,"javascript,css3,react,jquery,angularjs,spring,mybatis",3-5年,本科,运营商/增值服务,1000-2000人,"谢先生,高级主管"
web前端工程师,北京-朝阳区,10-15k,特斯联科技集团有限公司,,经验不限,本科,互联网,100-499人,"丁先生,WEB前端开发工程师"
web前端工程师,上海,15-30k·16薪,上海电子工程设计研究院有限公司,"javascript,css3,jquery,bootstrap,npm",3-5年,本科,工程管理/勘察/监理,100-499人,"孔女士,HR经理"
web前端工程师,北京,20-40k·15薪,京东,"javascript,前端开发,css3,react,vue",3-5年,本科,互联网,10000人以上,"陈先生,高级工程师"
前端工程师,上海-浦东新区,10-15k·14薪,用审信息科技(上海)有限公司,"javascript,前端开发,css,webpack,html,gulp,linux,windows,小程序",1-3年,大专,财务/审计/税务,1-49人,"王女士,行政"
web前端工程师,深圳-南山区,12-20k,北京华路时代信息技术股份有限公司,"HTML5,Vue,Echarts",3-5年,本科,计算机软件,500-999人,"闫女士,招聘主管"
web前端工程师,武汉,5-9k,深圳天涯云客科技有限公司,"html,css,javascript,bootstrap,jquery,ajax,vue,php,laravel,git",1-3年,大专,电子商务,500-999人,"喻先生,经理"
高级前端工程师,杭州-西湖区,15-25k·14薪,麒盛科技股份有限公司,"javascript,前端开发,jquery,java,bootstrap,photoshop,小程序,android,ios,全栈开发",3-5年,本科,智能硬件,2000-5000人,"张先生,研发经理"
前端工程师 测试开发工程师,深圳-龙岗区,25-55k·16薪,华为,后端开发,3-5年,本科,通信设备,2000-5000人,"谌先生,软件开发工程师"
前端工程师,广州-增城区,8-10k,广州税航信息科技有限公司,"react,javascript,前端开发,bootstrap,vue,jquery",1-3年,学历不限,计算机软件,2000-5000人,"范先生,技术经理"
web前端工程师,北京-朝阳区,11-20k,北京大力税手信息技术有限公司,"前端开发,css3,react,vue,webpack,angular,git,小程序",3-5年,本科,天使轮,2000-5000人,"李先生,技术开发总经理"
前端工程师,北京-朝阳区,15-30k,深圳市品道餐饮管理有限公司,"react,ios,javascript,前端开发,vue,webpack,git,koa,express,小程序",3-5年,本科,餐饮业,2000-5000人,"曹女士,pmo负责人"
前端工程师,兰州,4-7k,甘肃虾米创意网络科技有限责任公司,"react,vue,webpack,git,javascript,前端开发,小程序",经验不限,大专,互联网,2000-5000人,"年女士,经理"
WEB前端工程师,南京,15-35k,华为,"Javascript,TypeScript,Webpack,AngularJS,Vue",经验不限,统招本科,通信设备,2000-5000人,"毕先生,开发工程师"
web前端工程师,西安,16-21k,西安华为,"css,前端开发,react,vue,html,angular,java",1-3年,本科,云计算/大数据,10000人以上,"冯先生,项目负责人&面试官"
用户增长-前端工程师,北京,20-30k·16薪,快手,,1-3年,本科,互联网,10000人以上,"张先生,用户增长-开发工程师"
资深前端工程师,北京,20-35k·14薪,高途,"react,vue",3-5年,本科,互联网,10000人以上,"宋先生,QA Leader"
前端工程师,北京-朝阳区,10-15k,杭州云象网络技术有限公司,,1-3年,本科,计算机软件,100-499人,"徐女士,HRM"
web前端工程师,西安-高新区,15-30k,华为,"css,前端开发,vue,html,angular",经验不限,本科,通信设备,100-499人,"卢先生,HR"
web前端工程师,西安,15-24k,华为,工资高，加班少,经验不限,本科,通信设备,100-499人,"赵女士,软件工程师"
web前端工程师,郑州,4-7k,南阳市微企胜网络科技有限公司,,1-3年,大专,计算机软件,50-99人,"刁女士,人事助理"
web前端工程师,上海,20-40k,万得,"javascript,css,前端开发,react,vue,jquery,html,angular",3-5年,本科,互联网,2000-5000人,"陈先生,算法工程师"
vue前端工程师,北京,10-15k,北京并捷信息技术有限公司,"前端开发,架构设计,模块开发,功能开发,需求分析",3-5年,本科,计算机软件,50-99人,"甘先生,总经理"
资深前端工程师,北京-海淀区,23-50k·15薪,抖音视界有限公司,"商业信息化,React,界面开发,框架设计,架构设计,需求分析,Taro,Webpack,Javascript,CSS",3-5年,本科,计算机软件,10000人以上,"尹先生,前端工程师"
高级前端工程师,宁波,11-16k·13薪,宁波明流信息科技有限公司,"ElementUI,界面开发,Vue,电商领域",3-5年,本科,计算机软件,1-49人,"吴先生,首席执行官CEO/总裁/总经理"
web前端工程师,成都-成华区,9-11k,成都青云优创科技有限公司,,3-5年,大专,计算机软件,1-49人,"蒋女士,行政"
