Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
数字IC设计前端工程师（WiFi方向）,上海-浦东新区,30-60k·16薪,TP-Link,"verilog,VCS,Verdi,spyglass",1-3年,统招本科,通信设备,50-99人,"曾女士,人力资源专员"
前端工程师、JAVA程序员,哈尔滨-松北区,6-8k,银联商务股份有限公司黑龙江分公司,"前端开发,Java",经验不限,本科,互联网,50-99人,"魏先生,人力专员"
芯片实现前端工程师,深圳-福田区,35-65k,翼华科技,,3-5年,硕士,电子/半导体/集成电路,50-99人,"唐女士,HR"
芯片前端工程师,南京-雨花台区,10-30k,中兴微电子,,经验不限,本科,电子/半导体/集成电路,2000-5000人,郭先生
WEB前端工程师,深圳,15-25k,某区块链公司,"MVVM,Node.js,前端开发,D语言",5-10年,统招本科,区块链,100-499人,"张先生,猎头顾问"
web前端工程师,西安-雁塔区,6-12k,西安云行科技有限公司,"Vue,Echarts,ElementUI,界面开发,Node.js,React,服务器开发,HTML,HTML5,CSS",5-10年,统招本科,互联网,100-499人,"李女士,人事经理"
逻辑设计经理（数字前端工程师）,珠海-香洲区,25-50k,珠海市英思集成电路设计有限公司,,5-10年,本科,电子/半导体/集成电路,100-499人,"李女士,人力资源经理"
IP数字前端工程师,南京-浦口区,30-60k·15薪,珠海新基讯通信技术有限公司,,1-3年,硕士,电子/半导体/集成电路,100-499人,"朱女士,人事专员"
SOC数字前端工程师,南京-浦口区,30-60k·15薪,珠海新基讯通信技术有限公司,,1-3年,硕士,电子/半导体/集成电路,100-499人,"朱女士,人事专员"
数字IC设计前端工程师（以太网方向）,深圳-南山区,30-60k·16薪,TP-Link,,1-3年,本科,通信设备,100-499人,"张女士,海外营销HRBP"
前端工程师,西安-高新区,15-30k,深圳市讯方技术股份有限公司,,1-3年,本科,IT服务,2000-5000人,"游女士,招聘经理"
SOC数字前端工程师,南京-浦口区,30-60k·15薪,上海新基讯通信技术有限公司,,1-3年,硕士,电子/半导体/集成电路,2000-5000人,蔡女士
小荷健康-前端工程师,北京-海淀区,35-65k,字节跳动,"系统开发,LabVIEW,Golang",3-5年,本科,互联网,10000人以上,"朱女士,招聘专家"
资深前端工程师,杭州-余杭区,20-30k·13薪,波形智能,"前端开发,Vue",3-5年,本科,IT服务,1-49人,"姜女士,CEO"
